Age,6,7,8,9,10,11,12,13,14,15,16,17,18
B1 (Ht),1.511,1.487,1.752,2.171,1.733,1.66,2.77,2.268,1.853,1.221,1.438,0.847,1.106
B2 (BM),0.103,0.277,0.138,0.093,0.24,0.228,0.096,0.161,0.244,0.274,0.154,0.239,0.145
Min,3.06,2.11,2.94,3.87,2.46,2.62,2.01,3.34,3.27,4.51,4.79,6.47,3.32
0.05,4.01,2.65,3.91,4.38,3.12,3.45,3.61,3.74,3.58,4.82,7.18,7.4,4.17
0.1,4.39,2.82,4.14,4.7,3.34,3.64,3.85,3.9,3.91,5.03,7.94,7.75,4.46
0.2,4.85,3.04,4.53,5.11,3.62,4,4.21,4.25,4.27,5.45,8.41,8.31,4.71
0.3,5.15,3.17,4.88,5.43,3.76,4.18,4.39,4.52,4.38,5.69,8.8,8.81,4.95
0.4,5.51,3.33,5.16,5.73,3.88,4.34,4.59,4.72,4.57,6,9.16,9.37,5.12
0.5,5.82,3.47,5.42,6.02,4.09,4.5,4.76,4.98,4.71,6.33,9.58,9.69,5.34
0.6,6.22,3.7,5.66,6.17,4.25,4.66,4.95,5.23,4.86,6.53,9.94,10.03,5.54
0.7,6.56,3.92,6,6.43,4.44,4.88,5.16,5.49,5.03,6.71,10.28,10.5,5.75
0.8,6.88,4.17,6.38,6.7,4.7,5.06,5.41,5.8,5.29,7.02,10.89,11.17,6.23
0.9,7.42,4.34,7.14,7.19,4.95,5.65,5.72,6.17,5.64,7.59,11.99,11.68,6.53
0.95,7.8,4.61,7.37,7.68,5.16,5.87,5.95,6.61,6.01,8.09,12.91,12.35,6.8
Max,9.32,5.18,8.32,8.02,5.79,6.8,7.06,7.52,6.77,8.89,14.89,13.82,8.01
