Age,6,7,8,9,10,11,12,13,14,15,16,17,18
B1 (Ht),2.319,1.733,1.668,2.266,1.93,1.543,1.217,1.404,0.915,1.134,0.627,1.323,1.235
B2 (BM),0.107,0.214,0.214,0.185,0.219,0.278,0.327,0.373,0.34,0.284,0.318,0.203,0.263
0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.05,3.61,3.03,2.96,2.82,2.61,2.75,2.8,2.2,3.47,4.06,4.38,4.89,4.17
0.1,3.89,3.18,3.17,3.07,2.89,2.88,3.05,2.34,3.63,4.26,4.69,5.08,4.46
0.2,4.22,3.4,3.48,3.34,3.04,3.25,3.29,2.51,3.87,4.46,4.96,5.64,4.71
0.21,4.23,3.41,3.49,3.35,3.05,3.26,3.3,2.52,3.88,4.47,4.97,5.65,4.72
0.3,4.47,3.57,3.67,3.5,3.16,3.46,3.43,2.69,4.03,4.8,5.2,5.96,4.95
0.4,4.72,3.68,3.9,3.67,3.35,3.62,3.58,2.82,4.21,4.93,5.42,6.27,5.12
0.5,4.9,3.84,4.07,3.77,3.51,3.78,3.74,2.98,4.43,5.08,5.65,6.61,5.34
0.6,5.18,4.04,4.26,3.91,3.64,3.93,3.92,3.13,4.62,5.29,5.82,6.83,5.54
0.7,5.44,4.19,4.43,4.07,3.72,4.09,4.1,3.27,4.78,5.49,6.01,7.06,5.75
0.8,5.78,4.42,4.67,4.37,3.9,4.35,4.31,3.46,4.95,5.69,6.28,7.49,6.23
0.9,6.13,4.7,5,4.62,4.14,4.61,4.58,3.71,5.24,6.07,6.6,8.18,6.53
0.95,6.61,4.88,5.36,4.96,4.35,4.9,4.75,3.82,5.35,6.23,6.95,8.5,6.8
0.99,7.54,5.5,6.81,5.62,4.71,6.29,5.56,4.67,6.18,7.33,7.63,9.12,8.01
